channel,mean_slope,t_stat,p_value,pct_positive,n_subjects,p_value_fdr
Af3,0.0034482932560456763,0.08238243858841528,0.9345141271603997,48.45360824742268,97,0.9897690881772058
Af4,0.0006497527953867931,0.014367816844161758,0.9885663526722791,46.391752577319586,97,0.9897690881772058
Af7,-0.050633011100781056,-1.1774739571450992,0.24191730547349805,42.2680412371134,97,0.9784787060041433
Af8,-0.009493161069780697,-0.20736394407177286,0.8361648753191492,45.36082474226804,97,0.9897690881772058
Afz,0.048833537762835076,1.0708377294442488,0.2869272503753162,59.79381443298969,97,0.9784787060041433
C1,0.02799480581930839,0.5793259180480166,0.563726262079217,49.48453608247423,97,0.9784787060041433
C2,0.03709193104422605,0.720742629560936,0.47281932933778553,51.546391752577314,97,0.9784787060041433
C3,0.055088415687363425,1.1577058388658386,0.24985634459238437,51.546391752577314,97,0.9784787060041433
C4,0.03497723742339523,0.6820416387965837,0.49685491811239596,50.51546391752577,97,0.9784787060041433
C5,0.061230007544246415,1.3703359621385454,0.17377803212562792,50.51546391752577,97,0.9784787060041433
C6,0.004957073092072001,0.09725164624731461,0.9227293058139315,47.42268041237113,97,0.9897690881772058
Cp1,0.030617506666336003,0.5604480208063661,0.5764795123827005,51.546391752577314,97,0.9784787060041433
Cp2,0.04091289714798726,0.7639063929379265,0.4467964788452504,54.63917525773196,97,0.9784787060041433
Cp3,0.04983303990944996,0.9656178344816028,0.3366616988323485,51.546391752577314,97,0.9784787060041433
Cp4,0.03802892584977851,0.7240564655036797,0.47079188477250855,54.63917525773196,97,0.9784787060041433
Cp5,0.03612197466522527,0.7554109058583504,0.45185191892069204,53.608247422680414,97,0.9784787060041433
Cp6,-0.009493928524121786,-0.20059882737612397,0.8414366435640551,52.57731958762887,97,0.9897690881772058
Cpz,-0.005180671704257156,-0.09875903958795264,0.9215355147390005,49.48453608247423,97,0.9897690881772058
Cz,0.017497509220808508,0.3649352787638733,0.715962444883028,50.51546391752577,97,0.9897690881772058
F1,0.011295940836856684,0.24123350203978103,0.8098886369816776,50.51546391752577,97,0.9897690881772058
F2,0.02595935070369949,0.5576270941287238,0.5783970405918837,52.57731958762887,97,0.9784787060041433
F3,0.027268975061019367,0.634237645977712,0.5274342034860265,49.48453608247423,97,0.9784787060041433
F4,0.013562593042749541,0.30407801809069135,0.7617265778676567,51.546391752577314,97,0.9897690881772058
F5,0.003587000220156492,0.07664313317218414,0.939066949707108,50.51546391752577,97,0.9897690881772058
F6,0.01614341819926771,0.3530786384304398,0.7248035940953946,53.608247422680414,97,0.9897690881772058
F7,-0.04270186869848965,-0.9187941709596461,0.36050601766046775,44.329896907216494,97,0.9784787060041433
F8,-0.05230745771893926,-1.1273303607889227,0.2624126575511236,45.36082474226804,97,0.9784787060041433
Fc1,0.054564146580493834,1.2098708997365275,0.22929923651687778,54.63917525773196,97,0.9784787060041433
Fc2,0.024272812149633397,0.5003111235693393,0.618001024795093,47.42268041237113,97,0.9784787060041433
Fc3,0.04943537189755603,1.134658508689257,0.2593436351205323,50.51546391752577,97,0.9784787060041433
Fc4,0.039689250601777575,0.8468962475014745,0.39915926255650674,54.63917525773196,97,0.9784787060041433
Fc5,0.047916202525664864,1.1140342962415537,0.2680458908259961,55.670103092783506,97,0.9784787060041433
Fc6,-0.037156668002119655,-0.842546755646075,0.4015762039367751,46.391752577319586,97,0.9784787060041433
Fcz,0.027913785228087334,0.6003666644914435,0.5496765794891719,48.45360824742268,97,0.9784787060041433
Fp1,0.025528343580949596,0.5849301839393265,0.5599669660991604,53.608247422680414,97,0.9784787060041433
Fp2,0.008053963570647334,0.1719826894809162,0.8638131684361551,50.51546391752577,97,0.9897690881772058
Fpz,0.013248068941813483,0.27112382584321953,0.7868779201788545,47.42268041237113,97,0.9897690881772058
Ft7,-0.03580658320969226,-0.7902357091931524,0.4313378523907756,50.51546391752577,97,0.9784787060041433
Ft8,-0.06942998271935649,-1.429233235824377,0.1561832446373717,43.29896907216495,97,0.9784787060041433
Fz,0.027007926428648348,0.5841429201776756,0.5604943101753593,49.48453608247423,97,0.9784787060041433
Iz,0.0047262817759686805,0.10070390566388551,0.9199955296062716,45.36082474226804,97,0.9897690881772058
O1,-0.03382512729381031,-0.6940432878879926,0.48933115517461223,45.36082474226804,97,0.9784787060041433
O2,-0.006908200010623224,-0.13799125649148183,0.8905363537204023,46.391752577319586,97,0.9897690881772058
Oz,-0.00937098177973944,-0.1921097465656992,0.848062024981881,42.2680412371134,97,0.9897690881772058
P1,0.027571070083196376,0.5101936010395267,0.6110869002514808,53.608247422680414,97,0.9784787060041433
P2,-0.0006807807616846701,-0.012856339225755095,0.9897690881772058,49.48453608247423,97,0.9897690881772058
P3,0.03943678874724452,0.7425293141726949,0.45957973185782924,51.546391752577314,97,0.9784787060041433
P4,-0.01126798980465391,-0.21883954688207669,0.8272396171142765,49.48453608247423,97,0.9897690881772058
P5,0.02570492700820175,0.5018100955196012,0.6169500574184738,52.57731958762887,97,0.9784787060041433
P6,-0.017252239981254042,-0.3654161382264316,0.7156046874766171,47.42268041237113,97,0.9897690881772058
P7,-0.001191685581733153,-0.02369577376264266,0.981144461599599,45.36082474226804,97,0.9897690881772058
P8,-0.060350348262669974,-1.2581902883523277,0.21137450678913938,41.23711340206185,97,0.9784787060041433
Po3,-0.012691088924088217,-0.24792806903532014,0.8047195967473145,47.42268041237113,97,0.9897690881772058
Po4,-0.04405159315541604,-0.90941842953329,0.36540686960953384,45.36082474226804,97,0.9784787060041433
Po7,-0.025668761640432365,-0.4877515359688227,0.6268379210339043,40.20618556701031,97,0.9784787060041433
Po8,-0.04725441841724589,-0.9567808484244775,0.34108116049508247,48.45360824742268,97,0.9784787060041433
Poz,-0.02558065020409994,-0.49390877197748,0.6224987996137166,44.329896907216494,97,0.9784787060041433
Pz,-0.01102136774200233,-0.20921546155455545,0.8347233574368315,45.36082474226804,97,0.9897690881772058
T10,-0.08145752848971959,-1.6541777849483117,0.10135762890135552,48.45360824742268,97,0.9784787060041433
T7,-0.050195399558290506,-1.0520820067584171,0.2954029504503848,43.29896907216495,97,0.9784787060041433
T8,-0.027771368772771806,-0.5454465322467708,0.5867115644185494,46.391752577319586,97,0.9784787060041433
T9,-0.03810167280723812,-0.8103640123529451,0.41973530711531054,41.23711340206185,97,0.9784787060041433
Tp7,-0.0034308910465140224,-0.07061090078010997,0.9438543213125169,44.329896907216494,97,0.9897690881772058
Tp8,-0.03911734551748023,-0.8080291078483178,0.42107158572216813,43.29896907216495,97,0.9784787060041433
