channel,mean_slope,t_stat,p_value,pct_positive,n_subjects,p_value_fdr
Afz,0.08919094579807336,1.7279739319625804,0.08720835170476031,54.63917525773196,97,0.09622990532939069
C1,0.14837459506031256,3.4308589199751878,0.0008887421152146236,60.824742268041234,97,0.017031758211760627
C2,0.11415081996849431,2.459430705555569,0.015705359850174853,59.79381443298969,97,0.03350476768037302
C3,0.10222539942384119,2.3707793761479876,0.019748722301441975,55.670103092783506,97,0.03621758105830442
C4,0.104523324099327,2.371647936866525,0.019704997961141443,59.79381443298969,97,0.03621758105830442
C5,0.12678375612924417,2.8221802222965158,0.00579802308864724,62.88659793814433,97,0.029562878869648188
C6,0.060092081250202524,1.585091756988009,0.11623421826912472,56.70103092783505,97,0.12398316615373303
Cp1,0.11576895868419161,2.678097509343618,0.008710655780453425,56.70103092783505,97,0.029562878869648188
Cp2,0.10899044596065986,2.5153196596720355,0.01355326454574265,62.88659793814433,97,0.032711015999368785
Cp3,0.13492537506822316,3.2490222712944585,0.0015967273323525587,64.94845360824742,97,0.017031758211760627
Cp4,0.08465325999045031,2.017481849530311,0.046436882732425994,55.670103092783506,97,0.0560747263184012
Cp5,0.09438030840426004,2.270508362331154,0.025412088832845528,60.824742268041234,97,0.038803064385255215
Cp6,0.08480650282346913,2.0875438163435214,0.039487582799157,59.79381443298969,97,0.05157561834991935
Cpz,0.13053327799163855,2.9845751743494957,0.0036017732392565247,61.855670103092784,97,0.02561260970137973
Cz,0.11177025911035587,2.509552080804832,0.013762412079499499,61.855670103092784,97,0.032711015999368785
F1,0.13063100161497276,2.6221342247895176,0.010162239611441564,61.855670103092784,97,0.029562878869648188
F2,0.08686723102781735,1.7811779382860495,0.07804609370661232,53.608247422680414,97,0.08763070170566997
F3,0.10822727382845108,2.1259486623255435,0.03607328370628307,60.824742268041234,97,0.04912106717451312
F4,0.11290970644539725,2.2696764303998425,0.025464511002823736,56.70103092783505,97,0.038803064385255215
F5,0.13645107705797901,2.6701015496564673,0.008905828028038732,58.76288659793815,97,0.029562878869648188
F6,0.0645125531806871,1.3145760863325344,0.1917843937073339,54.63917525773196,97,0.19482859043284714
F7,0.10639611283373089,2.3580686003431843,0.02039851222945734,60.824742268041234,97,0.03621758105830442
F8,0.08291354319718072,1.617714990157119,0.10900523954376429,55.670103092783506,97,0.11824297170849007
Fc1,0.12406693882232829,2.7478646131513056,0.007165529744285479,62.88659793814433,97,0.029562878869648188
Fc2,0.11389727619194855,2.5071103553266103,0.013851824282389012,60.824742268041234,97,0.032711015999368785
Fc3,0.15260163146250053,3.372951808158476,0.001073508244895695,65.97938144329896,97,0.017031758211760627
Fc4,0.14455423931160727,3.048721700100155,0.0029695188853934343,63.91752577319587,97,0.02561260970137973
Fc5,0.1280005761986805,2.7744303257659344,0.006646076411459811,61.855670103092784,97,0.029562878869648188
Fc6,0.05689444133732919,1.1900161032767507,0.23697469089866166,53.608247422680414,97,0.23697469089866166
Fcz,0.1596541292835235,3.3754778945779083,0.0010647466424146769,64.94845360824742,97,0.017031758211760627
Fp1,0.10144372225952891,2.005014613069166,0.04777730243000411,58.76288659793815,97,0.05662495102815302
Fp2,0.11493139753535249,2.346152844426298,0.021024787861504753,59.79381443298969,97,0.03621758105830442
Fpz,0.09487313187195856,1.8097038505163547,0.07347092485180014,64.94845360824742,97,0.08396677125920016
Ft7,0.12304948791836762,2.534769712595516,0.012868819927084376,64.94845360824742,97,0.032711015999368785
Ft8,0.1121159731215237,2.127171536725534,0.035968901261750126,60.824742268041234,97,0.04912106717451312
Fz,0.10839273153359393,2.1495581391974254,0.034103735317782685,60.824742268041234,97,0.048503090229735375
Iz,0.06685143678859425,1.3724027566130519,0.1731361379170795,54.63917525773196,97,0.17872117462408205
O1,0.13556982013524735,2.6846804116789853,0.008552897289038009,60.824742268041234,97,0.029562878869648188
O2,0.1067940430362722,2.2722631815117134,0.025301824092245195,58.76288659793815,97,0.038803064385255215
Oz,0.1083991625837782,2.4812906513718236,0.014829667358552333,57.73195876288659,97,0.03272754175680515
P1,0.11187057355804027,2.494787371023655,0.014311069499723843,53.608247422680414,97,0.032711015999368785
P2,0.102999052173947,2.4129351782378237,0.017723139082414255,58.76288659793815,97,0.03544627816482851
P3,0.11487776469872009,2.6907907954341703,0.008408789069960997,56.70103092783505,97,0.029562878869648188
P4,0.122312762149441,2.6996858661919503,0.008202946874981795,59.79381443298969,97,0.029562878869648188
P5,0.12054305403884873,2.890095801947882,0.004761780165045773,63.91752577319587,97,0.029562878869648188
P6,0.09068497559016589,2.04268858449126,0.0438247704515606,57.73195876288659,97,0.0547238266304978
P7,0.12453101293322372,2.630361481701138,0.009935953705366013,59.79381443298969,97,0.029562878869648188
P8,0.12013336464160775,2.5433565725039764,0.012576657706990237,59.79381443298969,97,0.032711015999368785
Po3,0.14920597151237594,3.284700227286211,0.001425714531462903,63.91752577319587,97,0.017031758211760627
Po4,0.12702292560453116,2.8037298335395384,0.0061132151433805374,59.79381443298969,97,0.029562878869648188
Po7,0.16529985346604997,3.495825045878938,0.0007172238255634488,61.855670103092784,97,0.017031758211760627
Po8,0.12828157245429608,3.011203216108083,0.0033255561172332152,63.91752577319587,97,0.02561260970137973
Poz,0.10153183672973001,2.2724985352612923,0.025287067578484174,60.824742268041234,97,0.038803064385255215
Pz,0.10577589321235811,2.441647751557891,0.016451505893898526,57.73195876288659,97,0.03396439926482277
T10,0.09462413065008667,2.172074955083984,0.03231299864730441,58.76288659793815,97,0.04700072530517005
T7,0.06789984337814046,1.4352505094285646,0.15446583858968577,55.670103092783506,97,0.16206251917606376
T8,0.1070431007479089,2.3493106723673334,0.02085718081665302,61.855670103092784,97,0.03621758105830442
T9,0.1043759186688748,2.0927352119763927,0.03901034413873396,56.70103092783505,97,0.05157561834991935
Tp7,0.08987669712484032,2.0723907116408546,0.04090948150946013,56.70103092783505,97,0.05236413633210897
Tp8,0.11637039831148606,2.640335712847754,0.009667737368015046,61.855670103092784,97,0.029562878869648188
